"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"mad_max_fury_road",97,85,"Action &amp; Adventure","R"
"wonder_woman_2017",93,88,"Action &amp; Adventure","PG-13"
"coco_2017",97,94,"Action &amp; Adventure","PG"
"dunkirk_2017",92,81,"Action &amp; Adventure","PG-13"
"star_wars_the_last_jedi",91,44,"Action &amp; Adventure","PG-13"
"thor_ragnarok_2017",93,87,"Action &amp; Adventure","PG-13"
"1011615-king_kong",98,86,"Action &amp; Adventure","G</div"
"logan_2017",93,90,"Action &amp; Adventure","R"
"incredibles_2",94,84,"Action &amp; Adventure","PG"
"1013775-metropolis",98,92,"Action &amp; Adventure","PG-13</div"
"1000355-adventures_of_robin_hood",100,89,"Action &amp; Adventure","PG</div"
"star_wars_episode_vii_the_force_awakens",93,86,"Action &amp; Adventure","PG-13"
"baby_driver",93,86,"Action &amp; Adventure","R"
"war_for_the_planet_of_the_apes",94,84,"Action &amp; Adventure","PG-13"
"spider_man_homecoming",92,87,"Action &amp; Adventure","PG-13"
"seven_samurai_1956",100,97,"Action &amp; Adventure","G</div"
"zootopia",97,92,"Action &amp; Adventure","PG"
"up",98,90,"Action &amp; Adventure","PG"
"1000121-39_steps",96,86,"Action &amp; Adventure","NR</div"
"the_jungle_book_2016",95,86,"Action &amp; Adventure","PG"
"lawrence_of_arabia",98,93,"Action &amp; Adventure","PG"
"jaws",98,90,"Action &amp; Adventure","PG"
"the_dark_knight",94,94,"Action &amp; Adventure","PG-13"
"treasure_of_the_sierra_madre",100,93,"Action &amp; Adventure","NR</div"
"captain_america_civil_war",91,89,"Action &amp; Adventure","PG-13"
"moana_2016",96,89,"Action &amp; Adventure","PG"
"harry_potter_and_the_deathly_hallows_part_2_2011",96,89,"Action &amp; Adventure","PG-13"
"apocalypse_now",98,94,"Action &amp; Adventure","R"
"the_hurt_locker",97,84,"Action &amp; Adventure","R"
"ant_man_and_the_wasp",88,76,"Action &amp; Adventure","PG-13"
"skyfall",92,86,"Action &amp; Adventure","PG-13"
"1000617-aliens",99,94,"Action &amp; Adventure","R</div"
"star_wars",93,96,"Action &amp; Adventure","PG"
"the_lego_movie",96,87,"Action &amp; Adventure","PG"
"star_trek_11",94,91,"Action &amp; Adventure","PG-13"
"blade_runner_2049",87,81,"Action &amp; Adventure","R"
"kubo_and_the_two_strings_2016",97,86,"Action &amp; Adventure","PG"
"marvels_the_avengers",92,91,"Action &amp; Adventure","PG-13"
"avengers_infinity_war",85,91,"Action &amp; Adventure","PG-13"
"mission_impossible_rogue_nation",93,87,"Action &amp; Adventure","PG-13"
"isle_of_dogs_2018",90,87,"Action &amp; Adventure","PG-13"
"terminator",100,89,"Action &amp; Adventure","R"
"the_african_queen_1951",98,86,"Action &amp; Adventure","PG"
"wall_e",95,90,"Action &amp; Adventure","G</div"
"empire_strikes_back",95,97,"Action &amp; Adventure","PG"
"rio_bravo",100,91,"Action &amp; Adventure","R</div"
"iron_man",94,91,"Action &amp; Adventure","PG-13"
"true_grit_2010",96,85,"Action &amp; Adventure","PG-13"
"french_connection",98,87,"Action &amp; Adventure","R"
"once_upon_a_time_in_the_west",98,95,"Action &amp; Adventure","PG-13"
"badlands",98,90,"Action &amp; Adventure","PG"
"casino_royale",95,89,"Action &amp; Adventure","PG-13"
"aguirre_the_wrath_of_god",98,91,"Action &amp; Adventure","R</div"
"throne_of_blood",98,94,"Action &amp; Adventure","NR</div"
"searchers",98,88,"Action &amp; Adventure","PG</div"
"guardians_of_the_galaxy",91,92,"Action &amp; Adventure","PG-13"
"bridge_on_the_river_kwai",95,93,"Action &amp; Adventure","PG"
"chicken_run",97,64,"Action &amp; Adventure","G</div"
"hunt_for_the_wilderpeople",96,91,"Action &amp; Adventure","NR"
"beatles_the_yellow_submarine",97,84,"Action &amp; Adventure","G"
"doctor_strange_2016",89,86,"Action &amp; Adventure","PG-13"
"princess_bride",97,94,"Action &amp; Adventure","PG"
"dawn_of_the_planet_of_the_apes",91,88,"Action &amp; Adventure","PG-13"
"goldfinger",97,89,"Action &amp; Adventure","PG</div"
"paths_of_glory",95,95,"Action &amp; Adventure","G</div"
"ghostbusters",97,88,"Action &amp; Adventure","PG</div"
"all_is_lost_2013",94,63,"Action &amp; Adventure","PG-13"
"x_men_days_of_future_past",90,91,"Action &amp; Adventure","PG-13"
"no_country_for_old_men",93,86,"Action &amp; Adventure","R"
"looper",93,82,"Action &amp; Adventure","R"
"fistful_of_dollars",98,91,"Action &amp; Adventure","R</div"
"the_lord_of_the_rings_the_two_towers",95,95,"Action &amp; Adventure","PG-13"
"ran",96,95,"Action &amp; Adventure","R</div"
"1019544-spartacus",95,87,"Action &amp; Adventure","PG-13</div"
"1001280-assault_on_precinct_13",98,80,"Action &amp; Adventure","R</div"
"right_stuff",98,90,"Action &amp; Adventure","PG</div"
"back_to_the_future",96,94,"Action &amp; Adventure","PG"
"sicario_2015",92,85,"Action &amp; Adventure","R"
"1046129-fugitive",96,89,"Action &amp; Adventure","PG-13"
"the_lego_batman_movie",89,80,"Action &amp; Adventure","PG"
"crouching_tiger_hidden_dragon",97,86,"Action &amp; Adventure","PG-13"
"the_lion_king",93,93,"Action &amp; Adventure","G</div"
"who_framed_roger_rabbit",97,84,"Action &amp; Adventure","PG</div"
"godzilla_1956",93,89,"Action &amp; Adventure","NR</div"
"1005973-diva",98,86,"Action &amp; Adventure","R</div"
"deadpool_2",84,85,"Action &amp; Adventure","R"
"captain_america_the_winter_soldier_2014",90,92,"Action &amp; Adventure","PG-13"
"jurassic_park",91,91,"Action &amp; Adventure","PG-13"
"1065598-babe",97,67,"Action &amp; Adventure","G</div"
"in_the_line_of_fire",96,79,"Action &amp; Adventure","R</div"
"raiders_of_the_lost_ark",95,96,"Action &amp; Adventure","PG</div"
"the_lord_of_the_rings_the_return_of_the_king",93,86,"Action &amp; Adventure","PG-13"
"superman_the_movie",94,86,"Action &amp; Adventure","PG"
"embrace_of_the_serpent",96,84,"Action &amp; Adventure","NR</div"
"guardians_of_the_galaxy_vol_2",84,87,"Action &amp; Adventure","PG-13"
"saving_private_ryan",93,95,"Action &amp; Adventure","R"
"wallace_and_gromit_curse_of_the_wererabbit",95,79,"Action &amp; Adventure","G</div"
"close_encounters_of_the_third_kind",95,85,"Action &amp; Adventure","PG"
"bourne_ultimatum",92,91,"Action &amp; Adventure","PG-13"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
