"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"inside_out_2015",98,89,"Animation","PG"
"coco_2017",97,94,"Action &amp; Adventure","PG"
"1048445-snow_white_and_the_seven_dwarfs",98,78,"Animation","G</div"
"incredibles_2",94,84,"Action &amp; Adventure","PG"
"paddington_2",100,88,"Animation","PG"
"zootopia",97,92,"Action &amp; Adventure","PG"
"toy_story_2",100,86,"Animation","G</div"
"up",98,90,"Action &amp; Adventure","PG"
"pinocchio_1940",100,73,"Animation","G</div"
"toy_story_3",98,89,"Animation","G</div"
"finding_nemo",99,86,"Animation","G</div"
"finding_dory",94,84,"Animation","PG"
"moana_2016",96,89,"Action &amp; Adventure","PG"
"toy_story",100,92,"Animation","G</div"
"the_lego_movie",96,87,"Action &amp; Adventure","PG"
"kubo_and_the_two_strings_2016",97,86,"Action &amp; Adventure","PG"
"how_to_train_your_dragon",99,91,"Animation","PG"
"isle_of_dogs_2018",90,87,"Action &amp; Adventure","PG-13"
"shaun_the_sheep_movie",99,80,"Animation","PG"
"dumbo",98,70,"Animation","G</div"
"wall_e",95,90,"Action &amp; Adventure","G</div"
"ratatouille",96,87,"Animation","G</div"
"only_yesterday_1991",100,81,"Animation","PG"
"incredibles",97,75,"Animation","PG"
"beauty_and_the_beast_1991",94,92,"Animation","G</div"
"chicken_run",97,64,"Action &amp; Adventure","G</div"
"beatles_the_yellow_submarine",97,84,"Action &amp; Adventure","G"
"my_life_as_a_zucchini",98,88,"Animation","PG-13"
"101_dalmatians",98,76,"Animation","G</div"
"nightmare_before_christmas",95,91,"Animation","PG"
"monsters_inc",96,90,"Animation","G"
"iron_giant",96,90,"Animation","PG"
"spirited_away",97,96,"Animation","PG"
"tower_2016",99,89,"Animation","NR</div"
"anomalisa",92,70,"Animation","R"
"song_of_the_sea_2014",99,92,"Animation","PG</div"
"the_lego_batman_movie",89,80,"Action &amp; Adventure","PG"
"the_lion_king",93,93,"Action &amp; Adventure","G</div"
"who_framed_roger_rabbit",97,84,"Action &amp; Adventure","PG</div"
"fantasia",94,83,"Animation","G</div"
"waltz_with_bashir",96,91,"Animation","R"
"your_name_2017",97,94,"Animation","PG"
"persepolis",96,92,"Animation","PG-13"
"wallace_and_gromit_curse_of_the_wererabbit",95,79,"Action &amp; Adventure","G</div"
"grave_of_the_fireflies",98,95,"Animation","NR</div"
"disneys_aladdin",95,92,"Action &amp; Adventure","G</div"
"the_secret_world_of_arrietty",95,85,"Animation","G</div"
"coraline",91,73,"Action &amp; Adventure","PG"
"1197696-fantastic_mr_fox",92,85,"Action &amp; Adventure","PG"
"ernest_and_celestine",97,88,"Animation","PG"
"the_red_turtle",93,80,"Animation","PG"
"long_way_north",98,76,"Action &amp; Adventure","PG"
"frozen_2013",90,85,"Action &amp; Adventure","PG"
"how_to_train_your_dragon_2",92,89,"Action &amp; Adventure","PG"
"the_breadwinner",95,86,"Animation","PG-13"
"ghost_in_the_shell",96,89,"Animation","R</div"
"bambi",90,73,"Animation","G</div"
"the_little_mermaid_1989",93,88,"Animation","G</div"
"lady_and_the_tramp",93,80,"Animation","G</div"
"antz",93,52,"Animation","PG"
"the_triplets_of_belleville",94,90,"Animation","PG-13"
"princess_mononoke_1999",93,94,"Action &amp; Adventure","PG-13"
"my_neighbor_totoro",94,94,"Animation","G</div"
"big_hero_6",89,91,"Animation","PG"
"ponyo",92,83,"Action &amp; Adventure","G</div"
"arthur_christmas",92,76,"Animation","PG"
"bugs_life",92,72,"Animation","G</div"
"1209767-mary_and_max",95,92,"Animation","G</div"
"teen_titans_go_to_the_movies",91,72,"Action &amp; Adventure","PG"
"bolt",89,74,"Action &amp; Adventure","PG"
"shrek_2",89,69,"Animation","PG"
"tangled",89,87,"Animation","PG"
"simpsons_movie",88,77,"Animation","PG-13"
"james_and_the_giant_peach",91,66,"Animation","PG</div"
"frankenweenie_2012",87,70,"Animation","PG"
"shrek",88,90,"Animation","PG"
"rango",88,69,"Action &amp; Adventure","PG"
"the_wind_rises",88,85,"Animation","PG-13"
"winnie_the_pooh_2011",91,80,"Animation","G</div"
"boy_and_the_world",93,76,"Animation","PG"
"the_illusionist-2009",91,79,"Animation","PG"
"paranorman",88,72,"Action &amp; Adventure","PG"
"millennium_actress_2001",93,90,"Animation","PG"
"the_peanuts_movie",87,76,"Animation","G</div"
"when_marnie_was_there",91,88,"Animation","PG"
"kung_fu_panda",87,82,"Action &amp; Adventure","PG"
"wreck_it_ralph",87,86,"Animation","PG"
"tarzan",89,75,"Action &amp; Adventure","G</div"
"kung_fu_panda_3",87,78,"Animation","PG"
"captain_underpants_the_first_epic_movie",88,61,"Animation","PG"
"howls_moving_castle",87,93,"Animation","PG"
"the-secret-of-kells",91,85,"Animation","G</div"
"1019187-sleeping_beauty",88,80,"Animation","G</div"
"akira",89,90,"Action &amp; Adventure","R"
"mary_and_the_witchs_flower",89,70,"Action &amp; Adventure","PG"
"the_boy_and_the_beast",90,88,"Action &amp; Adventure","PG-13"
"sausage_party",83,50,"Animation","R"
"tokyo_godfathers",90,91,"Animation","PG-13"
"the_pirates_band_of_misfits",86,60,"Action &amp; Adventure","PG"
"loving_vincent",85,86,"Animation","PG-13"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
