"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"lady_bird",99,79,"Comedy","R"
"blackkklansman",96,82,"Comedy","R"
"modern_times",100,95,"Classics","G</div"
"it_happened_one_night",98,93,"Classics","NR</div"
"eighth_grade",99,83,"Comedy","R"
"coco_2017",97,94,"Action &amp; Adventure","PG"
"singin_in_the_rain",100,95,"Classics","G</div"
"the_big_sick",98,88,"Comedy","R"
"paddington_2",100,88,"Animation","PG"
"beatles_a_hard_days_night",98,89,"Classics","G</div"
"philadelphia_story",100,93,"Classics","NR</div"
"la_la_land",91,81,"Comedy","PG-13"
"zootopia",97,92,"Action &amp; Adventure","PG"
"toy_story_2",100,86,"Animation","G</div"
"up",98,90,"Action &amp; Adventure","PG"
"toy_story_3",98,89,"Animation","G</div"
"kind_hearts_and_coronets",100,94,"Classics","NR</div"
"three_billboards_outside_ebbing_missouri",90,87,"Comedy","R"
"finding_nemo",99,86,"Animation","G</div"
"dr_strangelove",98,94,"Classics","PG</div"
"the_death_of_stalin",96,77,"Comedy","R"
"ant_man_and_the_wasp",88,76,"Action &amp; Adventure","PG-13"
"roman_holiday",98,94,"Classics","NR</div"
"toy_story",100,92,"Animation","G</div"
"crazy_rich_asians",91,76,"Comedy","PG-13"
"the_lego_movie",96,87,"Action &amp; Adventure","PG"
"the_gold_rush",100,93,"Classics","G</div"
"sorry_to_bother_you_2018",93,70,"Comedy","R"
"paterson",96,71,"Comedy","R"
"to_be_or_not_to_be",98,93,"Classics","PG"
"monty_python_and_the_holy_grail",97,95,"Comedy","PG</div"
"the_disaster_artist",91,86,"Comedy","R"
"his_girl_friday",98,90,"Classics","PG</div"
"isle_of_dogs_2018",90,87,"Action &amp; Adventure","PG-13"
"dolce_vita",97,90,"Art House &amp; International","NR</div"
"shaun_the_sheep_movie",99,80,"Animation","PG"
"city_lights",98,96,"Classics","G</div"
"the_artist",95,87,"Comedy","PG-13"
"the_nice_guys",93,79,"Comedy","R"
"birdman_2014",91,77,"Comedy","R"
"annie_hall",97,92,"Comedy","PG</div"
"love_and_friendship",97,60,"Comedy","PG"
"mary_poppins",100,86,"Classics","G</div"
"discreet_charm_of_the_bourgeoisie",98,89,"Art House &amp; International","PG</div"
"spy_2015",95,78,"Comedy","R"
"ratatouille",96,87,"Animation","G</div"
"the_rules_of_the_game",98,90,"Art House &amp; International","NR</div"
"some_like_it_hot",97,94,"Classics","G</div"
"gentlemen_prefer_blondes",98,83,"Classics","G</div"
"incredibles",97,75,"Animation","PG"
"tampopo",100,93,"Art House &amp; International","NR</div"
"logan_lucky",92,75,"Comedy","PG-13"
"sideways",97,78,"Comedy","R"
"chicken_run",97,64,"Action &amp; Adventure","G</div"
"hunt_for_the_wilderpeople",96,91,"Action &amp; Adventure","NR"
"beatles_the_yellow_submarine",97,84,"Action &amp; Adventure","G"
"101_dalmatians",98,76,"Animation","G</div"
"ghostbusters",97,88,"Action &amp; Adventure","PG</div"
"airplane",97,89,"Comedy","PG"
"the_grand_budapest_hotel",91,86,"Comedy","R"
"big",97,82,"Comedy","PG"
"dont_think_twice",98,69,"Comedy","R"
"player",98,84,"Comedy","R"
"playtime",98,90,"Art House &amp; International","NR</div"
"monsters_inc",96,90,"Animation","G"
"1001115-apartment",94,94,"Classics","NR</div"
"paddington_2014",97,80,"Comedy","PG"
"what_we_do_in_the_shadows",96,86,"Comedy","R"
"bringing_up_baby",93,90,"Classics","NR</div"
"groundhog_day",96,88,"Comedy","PG"
"back_to_the_future",96,94,"Action &amp; Adventure","PG"
"anomalisa",92,70,"Animation","R"
"duck_soup",92,91,"Classics","NR"
"bull_durham",97,82,"Comedy","R"
"moonrise_kingdom",93,86,"Comedy","PG-13"
"the_lego_batman_movie",89,80,"Action &amp; Adventure","PG"
"enough_said_2013",95,75,"Comedy","PG-13</div"
"the_muppets",95,80,"Comedy","PG"
"the_edge_of_seventeen",94,83,"Comedy","R"
"who_framed_roger_rabbit",97,84,"Action &amp; Adventure","PG</div"
"broadcast_news",98,78,"Comedy","R"
"lost_in_translation",95,85,"Comedy","R"
"deadpool_2",84,85,"Action &amp; Adventure","R"
"the_taste_of_others",100,82,"Art House &amp; International","R"
"tangerine_2015",96,76,"Comedy","R</div"
"the_bands_visit",98,86,"Art House &amp; International","PG-13"
"le_havre_2011",99,75,"Comedy","PG</div"
"repo_man",98,79,"Comedy","R"
"truman_show",94,89,"Comedy","PG"
"hannah_gadsby_nanette",100,22,"Comedy","NR</div"
"silver_linings_playbook",92,86,"Comedy","R"
"guardians_of_the_galaxy_vol_2",84,87,"Action &amp; Adventure","PG-13"
"say_anything",98,85,"Comedy","PG-13"
"juno",94,88,"Comedy","PG-13"
"wallace_and_gromit_curse_of_the_wererabbit",95,79,"Action &amp; Adventure","G</div"
"elaine_stritch_shoot_me_2013",99,79,"Comedy","NR</div"
"manhattan",95,92,"Comedy","R</div"
"monsieur_lazhar_2011",97,86,"Art House &amp; International","PG-13"
"we_are_the_best",96,78,"Comedy","NR</div"
"1009096-hairspray",98,80,"Comedy","PG</div"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"get_out",98,86,"Horror","R"
