"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"wont_you_be_my_neighbor",98,94,"Documentary","PG-13"
"i_am_not_your_negro",98,83,"Documentary","PG-13"
"man_on_wire",100,87,"Documentary","PG-13"
"life_itself",97,88,"Documentary","R"
"faces_places",99,89,"Art House &amp; International","PG"
"minding_the_gap",100,93,"Documentary","NR</div"
"20_feet_from_stardom",99,82,"Documentary","PG-13"
"three_identical_strangers",96,88,"Documentary","PG-13"
"amy_2015",95,87,"Art House &amp; International","R"
"the_last_waltz_1978",98,94,"Documentary","PG"
"kedi_2017",98,85,"Documentary","NR</div"
"taxi_to_the_dark_side",100,90,"Documentary","R"
"blackfish_2013",98,90,"Documentary","PG-13"
"weiner",96,83,"Documentary","R"
"murderball",98,89,"Documentary","R"
"tower_2016",99,89,"Animation","NR</div"
"inside_job_2010",98,91,"Documentary","PG-13"
"anvil_the_story_of_anvil",98,91,"Documentary","NR</div"
"shirkers",100,79,"Documentary","NR</div"
"the_square_2013",100,90,"Documentary","NR</div"
"rbg",95,78,"Documentary","PG"
"seymour_an_introduction",100,78,"Documentary","PG"
"the_missing_picture",99,76,"Documentary","NR</div"
"deliver_us_from_evil",100,89,"Documentary","NR</div"
"jiro_dreams_of_sushi",99,92,"Art House &amp; International","PG"
"bright_lights_starring_carrie_fisher_and_debbie_reynolds",100,86,"Documentary","NR</div"
"waste-land",100,90,"Art House &amp; International","NR</div"
"hoop_dreams",98,93,"Documentary","PG-13</div"
"afghan_star",100,77,"Art House &amp; International","NR</div"
"citizenfour",96,87,"Documentary","R"
"waltz_with_bashir",96,91,"Animation","R"
"mr_death_the_rise_and_fall_of_fred_a_leuchter_jr",100,86,"Documentary","PG-13"
"strong_island",100,57,"Documentary","NR</div"
"the_interrupters_2011",99,82,"Documentary","NR</div"
"the_overnighters",99,85,"Documentary","PG-13"
"iris_2015",98,80,"Documentary","PG-13"
"capturing_the_friedmans",97,89,"Documentary","R</div"
"jodorowskys_dune",97,89,"Documentary","PG-13"
"project_nim",97,84,"Art House &amp; International","PG-13"
"elaine_stritch_shoot_me_2013",99,79,"Comedy","NR</div"
"the_invisible_war",99,84,"Documentary","NR</div"
"56_up",99,75,"Documentary","NR</div"
"last_train_home-2009",100,87,"Art House &amp; International","PG</div"
"the_look_of_silence",96,89,"Art House &amp; International","PG-13"
"1122382-spellbound",97,83,"Documentary","G</div"
"everyday_sunshine_the_story_of_fishbone_2011",100,85,"Documentary","NR</div"
"nostalgia_for_the_light",100,84,"Art House &amp; International","NR</div"
"bill_cunningham_new_york_2010",99,92,"Documentary","NR</div"
"we_were_here_voices_from_the_aids_years_in_san_francisco",100,87,"Documentary","NR</div"
"enron_the_smartest_guys_in_the_room",97,87,"Documentary","R"
"the_act_of_killing",95,85,"Documentary","NR</div"
"rivers_and_tides_andy_goldsworthy_working_with_time",99,90,"Art House &amp; International","G</div"
"ai_weiwei_never_sorry_2012",98,87,"Documentary","R"
"when_we_were_kings",98,93,"Documentary","PG</div"
"this_is_not_a_film_2011",97,69,"Art House &amp; International","NR</div"
"13th",97,91,"Documentary","NR</div"
"march_of_the_penguins",94,81,"Documentary","G</div"
"kurt_cobain_montage_of_heck_2015",97,81,"Documentary","NR</div"
"hitchcocktruffaut",96,76,"Documentary","PG-13"
"restrepo",97,88,"Documentary","R"
"king_of_kong",97,93,"Documentary","PG-13"
"the_fog_of_war_eleven_lessons_from_the_life_of_robert_s_mcnamara",96,93,"Documentary","PG-13"
"west_of_memphis",96,87,"Documentary","R"
"bowling_for_columbine",95,83,"Documentary","R"
"cave_of_forgotten_dreams",96,73,"Documentary","G</div"
"war_tapes",98,83,"Documentary","NR</div"
"the_beatles_eight_days_a_week_the_touring_years",96,89,"Documentary","NR</div"
"jafar_panahis_taxi",96,79,"Documentary","NR</div"
"how_to_survive_a_plague",97,83,"Documentary","NR</div"
"beware_of_mr_baker",98,87,"Documentary","NR</div"
"sicko",92,87,"Documentary","PG-13"
"undefeated_2012",96,89,"Documentary","PG-13"
"marwencol",98,87,"Documentary","NR</div"
"mea_maxima_culpa_silence_in_the_house_of_god",98,90,"Documentary","NR</div"
"the_island_president",98,78,"Documentary","PG"
"finders_keepers_2015",98,74,"Documentary","R"
"stories_we_tell",94,79,"Documentary","PG-13"
"devil_came_on_horseback",98,90,"Documentary","NR</div"
"blindsight",98,83,"Action &amp; Adventure","PG"
"let_the_fire_burn_2013",98,91,"Documentary","NR</div"
"sound_city",98,90,"Documentary","NR</div"
"call_me_kuchu_2011",98,88,"Documentary","NR</div"
"for_the_bible_tells_me_so",98,90,"Documentary","PG-13</div"
"keep_on_keepin_on",98,88,"Documentary","R"
"the_life_and_times_of_hank_greenberg",97,80,"Documentary","PG</div"
"born_to_be_wild_2011",98,84,"Documentary","G</div"
"surfwise",98,66,"Documentary","R"
"1208882-cove",95,94,"Documentary","PG-13"
"the_queen_of_versailles",95,73,"Documentary","PG"
"the_imposter_2012",95,78,"Documentary","R"
"wordplay",95,80,"Documentary","PG"
"bus_174",97,90,"Art House &amp; International","R"
"burma-vj",97,91,"Art House &amp; International","NR</div"
"muscle_shoals_2013",96,89,"Documentary","PG"
"no_end_in_sight",96,94,"Documentary","NR</div"
"room_237_2012",94,55,"Documentary","NR</div"
"49_up",97,87,"Documentary","NR</div"
"winged_migration",95,87,"Documentary","G</div"
"gasland",98,85,"Documentary","NR</div"
"marley",95,90,"Documentary","PG-13"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
