"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"moonlight_2016",98,79,"Drama","R"
"1003707-casablanca",98,95,"Classics","PG</div"
"wonder_woman_2017",93,88,"Action &amp; Adventure","PG-13"
"la_grande_illusion",97,93,"Art House &amp; International","NR</div"
"dunkirk_2017",92,81,"Action &amp; Adventure","PG-13"
"a_quiet_place_2018",95,83,"Drama","PG-13"
"1000626-all_about_eve",100,94,"Classics","PG</div"
"selma",99,86,"Drama","PG-13"
"spotlight_2015",97,93,"Drama","R"
"star_wars_the_last_jedi",91,44,"Action &amp; Adventure","PG-13"
"the_shape_of_water_2017",92,72,"Drama","R"
"thor_ragnarok_2017",93,87,"Action &amp; Adventure","PG-13"
"arrival_2016",94,82,"Drama","PG-13"
"godfather",98,98,"Drama","R"
"logan_2017",93,90,"Action &amp; Adventure","R"
"1013775-metropolis",98,92,"Action &amp; Adventure","PG-13</div"
"call_me_by_your_name",95,86,"Drama","R"
"gravity_2013",96,80,"Drama","PG-13"
"1013139-maltese_falcon",100,91,"Drama","PG</div"
"boyhood",97,80,"Drama","R"
"leave_no_trace",100,81,"Drama","PG"
"manchester_by_the_sea",96,77,"Drama","R"
"argo_2012",96,90,"Drama","R"
"12_years_a_slave",95,90,"Drama","R"
"the_battle_of_algiers",99,95,"Art House &amp; International","NR</div"
"baby_driver",93,86,"Action &amp; Adventure","R"
"war_for_the_planet_of_the_apes",94,84,"Action &amp; Adventure","PG-13"
"the_florida_project",96,80,"Drama","R"
"la_la_land",91,81,"Comedy","PG-13"
"alien",97,94,"Drama","R"
"spider_man_homecoming",92,87,"Action &amp; Adventure","PG-13"
"night_of_the_hunter",99,90,"Drama","PG</div"
"seven_samurai_1956",100,97,"Action &amp; Adventure","G</div"
"sunset_boulevard",98,95,"Classics","G</div"
"bicycle_thieves",98,94,"Drama","NR</div"
"1017289-rear_window",100,95,"Classics","PG"
"1017293-rebecca",100,92,"Classics","NR</div"
"1012928-m",100,95,"Art House &amp; International","NR</div"
"hell_or_high_water",97,88,"Drama","R"
"1021749-touch_of_evil",96,92,"Classics","PG-13"
"taxi_driver",98,93,"Drama","R"
"1000642-all_quiet_on_the_western_front",100,89,"Classics","PG</div"
"kind_hearts_and_coronets",100,94,"Classics","NR</div"
"lawrence_of_arabia",98,93,"Action &amp; Adventure","PG"
"1020333-streetcar_named_desire",98,90,"Classics","PG</div"
"jaws",98,90,"Action &amp; Adventure","PG"
"1000013-12_angry_men",100,97,"Classics","NR</div"
"the_babadook",98,72,"Drama","NR</div"
"brooklyn",97,87,"Drama","PG-13"
"the_dark_knight",94,94,"Action &amp; Adventure","PG-13"
"400_blows",100,94,"Art House &amp; International","NR</div"
"treasure_of_the_sierra_madre",100,93,"Action &amp; Adventure","NR</div"
"1002352-big_sleep",97,91,"Classics","PG</div"
"three_billboards_outside_ebbing_missouri",90,87,"Comedy","R"
"rashomon",98,93,"Art House &amp; International","NR</div"
"chinatown",99,93,"Classics","R</div"
"double_indemnity",97,95,"Drama","NR</div"
"the_wrestler",98,88,"Drama","R"
"repulsion",98,86,"Classics","NR</div"
"army_of_shadows",97,94,"Art House &amp; International","NR</div"
"harry_potter_and_the_deathly_hallows_part_2_2011",96,89,"Action &amp; Adventure","PG-13"
"grapes_of_wrath",100,88,"Classics","G</div"
"vertigo",95,93,"Classics","PG"
"creed_2015",95,89,"Drama","PG-13"
"open_city",100,92,"Art House &amp; International","NR</div"
"wages_of_fear",100,95,"Art House &amp; International","NR</div"
"apocalypse_now",98,94,"Action &amp; Adventure","R"
"the_death_of_stalin",96,77,"Comedy","R"
"the_hurt_locker",97,84,"Action &amp; Adventure","R"
"la_confidential",99,94,"Drama","R"
"roman_holiday",98,94,"Classics","NR</div"
"hidden_figures",93,93,"Drama","PG"
"last_picture_show",100,90,"Classics","R"
"star_wars",93,96,"Action &amp; Adventure","PG"
"tokyo_story",100,93,"Art House &amp; International","G</div"
"on_the_waterfront",98,95,"Classics","NR</div"
"star_trek_11",94,91,"Action &amp; Adventure","PG-13"
"the-social-network",96,86,"Drama","PG-13"
"paterson",96,71,"Comedy","R"
"blade_runner_2049",87,81,"Action &amp; Adventure","R"
"godfather_part_ii",97,97,"Drama","R"
"phantom_thread",91,70,"Drama","R"
"to_be_or_not_to_be",98,93,"Classics","PG"
"carol",94,74,"Drama","R"
"cool_hand_luke",100,95,"Classics","PG</div"
"anatomy-of-a-murder",100,90,"Classics","G</div"
"nightcrawler",95,85,"Drama","R"
"battleship_potemkin",100,85,"Art House &amp; International","NR</div"
"the_conformist",98,91,"Art House &amp; International","R</div"
"balthazar",100,86,"Art House &amp; International","NR</div"
"his_girl_friday",98,90,"Classics","PG</div"
"i_tonya",89,88,"Drama","R"
"its_a_wonderful_life",93,95,"Classics","PG"
"dolce_vita",97,90,"Art House &amp; International","NR</div"
"let_the_right_one_in",98,90,"Art House &amp; International","R"
"the_post",88,73,"Drama","PG-13"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"get_out",98,86,"Horror","R"
