"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"murderball",98,89,"Documentary","R"
"hoop_dreams",98,93,"Documentary","PG-13</div"
"1017776-rocky",94,69,"Drama","PG"
"when_we_were_kings",98,93,"Documentary","PG</div"
"king_of_kong",97,93,"Documentary","PG-13"
"undefeated_2012",96,89,"Documentary","PG-13"
"the_life_and_times_of_hank_greenberg",97,80,"Documentary","PG</div"
"surfwise",98,66,"Documentary","R"
"the_fighter_2011",91,89,"Drama","R"
"battle_of_the_sexes",85,72,"Comedy","PG-13"
"touching_the_void",94,92,"Documentary","R"
"the_crash_reel_2013",96,94,"Documentary","G</div"
"10009355-sugar",92,80,"Drama","R"
"damned_united",92,85,"Drama","R"
"boxing_gym",95,75,"Documentary","NR</div"
"red_army_2015",92,85,"Documentary","PG"
"senna",92,95,"Documentary","PG-13"
"riding_giants",93,94,"Documentary","PG-13"
"dogtown_and_zboys",92,88,"Documentary","PG-13"
"color_of_money",89,73,"Drama","R</div"
"tristram_shandy_a_cock_and_bull_story",89,66,"Comedy","R"
"hoosiers",89,88,"Drama","PG</div"
"up_for_grabs",92,87,"Comedy","NR</div"
"field_of_dreams",86,86,"Drama","PG</div"
"girlfight",87,75,"Drama","R"
"the-heart-of-the-game",87,83,"Documentary","PG-13"
"chariots_of_fire",84,80,"Art House &amp; International","PG"
"1208128-tyson",85,79,"Documentary","R"
"1093641-hurricane",83,87,"Drama","R"
"looking_for_eric",85,78,"Art House &amp; International","G</div"
"major_league",83,84,"Comedy","R"
"goon",82,71,"Comedy","R</div"
"the_armstrong_lie_2013",81,76,"Documentary","R"
"beyond_the_mat",82,83,"Documentary","R"
"the_boxer",80,74,"Drama","R"
"invictus",76,75,"Drama","PG-13"
"fed_up_2014",81,84,"Documentary","PG"
"league_of_their_own",78,84,"Comedy","PG"
"step_into_liquid",81,93,"Documentary","PG"
"10006849-once_in_a_lifetime",81,80,"Documentary","PG-13"
"stoked_the_rise_and_fall_of_gator",81,74,"Documentary","R"
"talladega_nights_the_ballad_of_ricky_bobby",71,73,"Action &amp; Adventure","PG-13"
"invincible",72,73,"Drama","PG"
"gunnin_for_that_1_spot",74,66,"Documentary","PG-13"
"ultimate_x_the_movie",74,43,"Documentary","PG"
"1212694-blind_side",66,85,"Comedy","PG-13"
"more_than_a_game",71,86,"Documentary","PG"
"secretariat",63,76,"Drama","PG"
"sandlot",61,89,"Comedy","PG"
"dust_to_glory",60,91,"Action &amp; Adventure","PG"
"nascar_the_imax_experience",61,88,"Documentary","PG"
"1155467-glory_road",56,81,"Drama","PG"
"because_of_winndixie",55,63,"Comedy","PG"
"1197992-perfect_game",57,70,"Drama","PG"
"steep",54,70,"Documentary","PG"
"first_descent",52,85,"Documentary","PG-13"
"soul_surfer",45,75,"Action &amp; Adventure","PG"
"replacements",41,66,"Comedy","PG-13"
"1158528-goal",42,77,"Drama","PG"
"beerfest",40,75,"Comedy","R"
"grudge_match_2014",31,46,"Comedy","PG-13"
"jiminy_glick_in_lalawood",22,32,"Action &amp; Adventure","R"
"playing_for_keeps_2012",4,41,"Comedy","PG-13"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
