"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"mad_max_fury_road",97,85,"Action &amp; Adventure","R"
"wonder_woman_2017",93,88,"Action &amp; Adventure","PG-13"
"et_the_extraterrestrial",98,72,"Kids &amp; Family","PG"
"1048445-snow_white_and_the_seven_dwarfs",98,78,"Animation","G</div"
"star_wars_the_last_jedi",91,44,"Action &amp; Adventure","PG-13"
"bride_of_frankenstein",100,88,"Classics","NR</div"
"the_shape_of_water_2017",92,72,"Drama","R"
"thor_ragnarok_2017",93,87,"Action &amp; Adventure","PG-13"
"arrival_2016",94,82,"Drama","PG-13"
"logan_2017",93,90,"Action &amp; Adventure","R"
"1013775-metropolis",98,92,"Action &amp; Adventure","PG-13</div"
"gravity_2013",96,80,"Drama","PG-13"
"star_wars_episode_vii_the_force_awakens",93,86,"Action &amp; Adventure","PG-13"
"nosferatu",97,87,"Art House &amp; International","NR</div"
"war_for_the_planet_of_the_apes",94,84,"Action &amp; Adventure","PG-13"
"alien",97,94,"Drama","R"
"spider_man_homecoming",92,87,"Action &amp; Adventure","PG-13"
"pinocchio_1940",100,73,"Animation","G</div"
"the_dark_knight",94,94,"Action &amp; Adventure","PG-13"
"captain_america_civil_war",91,89,"Action &amp; Adventure","PG-13"
"dr_strangelove",98,94,"Classics","PG</div"
"1007818-frankenstein",100,87,"Classics","NR</div"
"harry_potter_and_the_deathly_hallows_part_2_2011",96,89,"Action &amp; Adventure","PG-13"
"ant_man_and_the_wasp",88,76,"Action &amp; Adventure","PG-13"
"1000617-aliens",99,94,"Action &amp; Adventure","R</div"
"star_wars",93,96,"Action &amp; Adventure","PG"
"star_trek_11",94,91,"Action &amp; Adventure","PG-13"
"sorry_to_bother_you_2018",93,70,"Comedy","R"
"1010678-invasion_of_the_body_snatchers",98,85,"Classics","PG</div"
"blade_runner_2049",87,81,"Action &amp; Adventure","R"
"kubo_and_the_two_strings_2016",97,86,"Action &amp; Adventure","PG"
"marvels_the_avengers",92,91,"Action &amp; Adventure","PG-13"
"the_martian",91,91,"Science Fiction &amp; Fantasy","PG-13"
"avengers_infinity_war",85,91,"Action &amp; Adventure","PG-13"
"how_to_train_your_dragon",99,91,"Animation","PG"
"its_a_wonderful_life",93,95,"Classics","PG"
"1001902-beauty_and_the_beast",95,90,"Drama","NR</div"
"terminator",100,89,"Action &amp; Adventure","R"
"dumbo",98,70,"Animation","G</div"
"wall_e",95,90,"Action &amp; Adventure","G</div"
"empire_strikes_back",95,97,"Action &amp; Adventure","PG"
"mary_poppins",100,86,"Classics","G</div"
"2001_a_space_odyssey",93,89,"Classics","G</div"
"iron_man",94,91,"Action &amp; Adventure","PG-13"
"miracle_on_34th_street",96,87,"Classics","NR</div"
"discreet_charm_of_the_bourgeoisie",98,89,"Art House &amp; International","PG</div"
"snowpiercer",95,72,"Science Fiction &amp; Fantasy","R"
"her",94,82,"Drama","R"
"1005371-day_the_earth_stood_still",95,87,"Classics","G</div"
"forbidden_planet",98,85,"Classics","G</div"
"guardians_of_the_galaxy",91,92,"Action &amp; Adventure","PG-13"
"8-12",98,92,"Art House &amp; International","NR</div"
"beauty_and_the_beast_1991",94,92,"Animation","G</div"
"beatles_the_yellow_submarine",97,84,"Action &amp; Adventure","G"
"doctor_strange_2016",89,86,"Action &amp; Adventure","PG-13"
"princess_bride",97,94,"Action &amp; Adventure","PG"
"dawn_of_the_planet_of_the_apes",91,88,"Action &amp; Adventure","PG-13"
"pans_labyrinth",95,91,"Drama","R"
"ghostbusters",97,88,"Action &amp; Adventure","PG</div"
"nightmare_before_christmas",95,91,"Animation","PG"
"x_men_days_of_future_past",90,91,"Action &amp; Adventure","PG-13"
"looper",93,82,"Action &amp; Adventure","R"
"big",97,82,"Comedy","PG"
"monsters_inc",96,90,"Animation","G"
"live_die_repeat_edge_of_tomorrow",90,90,"Drama","PG-13"
"the_lord_of_the_rings_the_two_towers",95,95,"Action &amp; Adventure","PG-13"
"groundhog_day",96,88,"Comedy","PG"
"iron_giant",96,90,"Animation","PG"
"wings_of_desire",98,94,"Art House &amp; International","PG-13</div"
"spirited_away",97,96,"Animation","PG"
"back_to_the_future",96,94,"Action &amp; Adventure","PG"
"song_of_the_sea_2014",99,92,"Animation","PG</div"
"ex_machina",92,86,"Drama","R"
"10_cloverfield_lane",90,79,"Drama","PG-13"
"godzilla_1956",93,89,"Action &amp; Adventure","NR</div"
"captain_america_the_winter_soldier_2014",90,92,"Action &amp; Adventure","PG-13"
"fantasia",94,83,"Animation","G</div"
"jurassic_park",91,91,"Action &amp; Adventure","PG-13"
"1065598-babe",97,67,"Action &amp; Adventure","G</div"
"solaris_1976",95,90,"Art House &amp; International","PG</div"
"repo_man",98,79,"Comedy","R"
"1003033-brazil",98,90,"Drama","R</div"
"the_lord_of_the_rings_the_return_of_the_king",93,86,"Action &amp; Adventure","PG-13"
"guardians_of_the_galaxy_vol_2",84,87,"Action &amp; Adventure","PG-13"
"jodorowskys_dune",97,89,"Documentary","PG-13"
"close_encounters_of_the_third_kind",95,85,"Action &amp; Adventure","PG"
"seventh_seal",93,93,"Action &amp; Adventure","NR</div"
"annihilation",88,66,"Action &amp; Adventure","R"
"spiderman_2",93,82,"Action &amp; Adventure","PG-13"
"children_of_men",92,85,"Drama","R"
"blade_runner",89,91,"Drama","R"
"district_9",90,82,"Action &amp; Adventure","R"
"the_secret_world_of_arrietty",95,85,"Animation","G</div"
"the_hunger_games_catching_fire",89,89,"Action &amp; Adventure","PG-13"
"young_frankenstein",93,92,"Classics","PG</div"
"eternal_sunshine_of_the_spotless_mind",93,94,"Comedy","R"
"the-evil-dead",95,84,"Horror","R"
"coraline",91,73,"Action &amp; Adventure","PG"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
