"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"inside_out_2015",98,89,"Animation","PG"
"coco_2017",97,94,"Action &amp; Adventure","PG"
"et_the_extraterrestrial",98,72,"Kids &amp; Family","PG"
"1048445-snow_white_and_the_seven_dwarfs",98,78,"Animation","G</div"
"incredibles_2",94,84,"Action &amp; Adventure","PG"
"paddington_2",100,88,"Animation","PG"
"toy_story_2",100,86,"Animation","G</div"
"up",98,90,"Action &amp; Adventure","PG"
"the_jungle_book_2016",95,86,"Action &amp; Adventure","PG"
"pinocchio_1940",100,73,"Animation","G</div"
"toy_story_3",98,89,"Animation","G</div"
"finding_nemo",99,86,"Animation","G</div"
"moana_2016",96,89,"Action &amp; Adventure","PG"
"harry_potter_and_the_deathly_hallows_part_2_2011",96,89,"Action &amp; Adventure","PG-13"
"toy_story",100,92,"Animation","G</div"
"the_lego_movie",96,87,"Action &amp; Adventure","PG"
"how_to_train_your_dragon",99,91,"Animation","PG"
"its_a_wonderful_life",93,95,"Classics","PG"
"dumbo",98,70,"Animation","G</div"
"mary_poppins",100,86,"Classics","G</div"
"miracle_on_34th_street",96,87,"Classics","NR</div"
"ratatouille",96,87,"Animation","G</div"
"incredibles",97,75,"Animation","PG"
"beauty_and_the_beast_1991",94,92,"Animation","G</div"
"chicken_run",97,64,"Action &amp; Adventure","G</div"
"beatles_the_yellow_submarine",97,84,"Action &amp; Adventure","G"
"princess_bride",97,94,"Action &amp; Adventure","PG"
"my_life_as_a_zucchini",98,88,"Animation","PG-13"
"101_dalmatians",98,76,"Animation","G</div"
"nightmare_before_christmas",95,91,"Animation","PG"
"big",97,82,"Comedy","PG"
"monsters_inc",96,90,"Animation","G"
"paddington_2014",97,80,"Comedy","PG"
"iron_giant",96,90,"Animation","PG"
"spirited_away",97,96,"Animation","PG"
"song_of_the_sea_2014",99,92,"Animation","PG</div"
"the_lego_batman_movie",89,80,"Action &amp; Adventure","PG"
"the_lion_king",93,93,"Action &amp; Adventure","G</div"
"the_muppets",95,80,"Comedy","PG"
"who_framed_roger_rabbit",97,84,"Action &amp; Adventure","PG</div"
"fantasia",94,83,"Animation","G</div"
"1065598-babe",97,67,"Action &amp; Adventure","G</div"
"wallace_and_gromit_curse_of_the_wererabbit",95,79,"Action &amp; Adventure","G</div"
"disneys_aladdin",95,92,"Action &amp; Adventure","G</div"
"my_fair_lady",95,90,"Kids &amp; Family","G</div"
"hugo",93,78,"Kids &amp; Family","PG"
"straight_story",96,91,"Action &amp; Adventure","G</div"
"coraline",91,73,"Action &amp; Adventure","PG"
"1197696-fantastic_mr_fox",92,85,"Action &amp; Adventure","PG"
"enchanted",93,80,"Comedy","PG"
"frozen_2013",90,85,"Action &amp; Adventure","PG"
"how_to_train_your_dragon_2",92,89,"Action &amp; Adventure","PG"
"the_breadwinner",95,86,"Animation","PG-13"
"bambi",90,73,"Animation","G</div"
"the_little_mermaid_1989",93,88,"Animation","G</div"
"how_green_was_my_valley",91,81,"Classics","NR</div"
"lady_and_the_tramp",93,80,"Animation","G</div"
"antz",93,52,"Animation","PG"
"1010939-jason_and_the_argonauts",93,79,"Action &amp; Adventure","G"
"princess_mononoke_1999",93,94,"Action &amp; Adventure","PG-13"
"my_neighbor_totoro",94,94,"Animation","G</div"
"the-secret-of-roan-inish",95,87,"Action &amp; Adventure","PG"
"big_hero_6",89,91,"Animation","PG"
"harry_potter_and_the_prisoner_of_azkaban",90,86,"Kids &amp; Family","PG"
"ponyo",92,83,"Action &amp; Adventure","G</div"
"petes_dragon_2016",88,72,"Kids &amp; Family","PG"
"spy_kids",93,46,"Action &amp; Adventure","PG"
"summer_hours",94,70,"Art House &amp; International","NR</div"
"arthur_christmas",92,76,"Animation","PG"
"a_monster_calls",86,81,"Comedy","PG-13"
"bugs_life",92,72,"Animation","G</div"
"harry_potter_and_the_goblet_of_fire",88,74,"Action &amp; Adventure","PG-13"
"teen_titans_go_to_the_movies",91,72,"Action &amp; Adventure","PG"
"that_thing_you_do",93,78,"Comedy","PG</div"
"willy_wonka_and_the_chocolate_factory",91,87,"Classics","G</div"
"shrek_2",89,69,"Animation","PG"
"tangled",89,87,"Animation","PG"
"james_and_the_giant_peach",91,66,"Animation","PG</div"
"first_position_2011",93,84,"Art House &amp; International","NR</div"
"shrek",88,90,"Animation","PG"
"rango",88,69,"Action &amp; Adventure","PG"
"lassie",93,64,"Action &amp; Adventure","PG"
"winnie_the_pooh_2011",91,80,"Animation","G</div"
"paranorman",88,72,"Action &amp; Adventure","PG"
"duma",93,80,"Action &amp; Adventure","PG"
"1004151-christmas_story",89,88,"Comedy","PG</div"
"the_peanuts_movie",87,76,"Animation","G</div"
"cinderella_2013",85,78,"Kids &amp; Family","PG"
"kung_fu_panda",87,82,"Action &amp; Adventure","PG"
"wreck_it_ralph",87,86,"Animation","PG"
"sound_of_music",84,91,"Classics","G</div"
"millions",88,78,"Comedy","PG"
"howls_moving_castle",87,93,"Animation","PG"
"the-secret-of-kells",91,85,"Animation","G</div"
"1019187-sleeping_beauty",88,80,"Animation","G</div"
"disneynature_bears",91,78,"Kids &amp; Family","G</div"
"muppet_movie",88,88,"Action &amp; Adventure","G</div"
"harry_potter_and_the_half_blood_prince",83,78,"Action &amp; Adventure","PG"
"karate_kid",88,82,"Drama","PG"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
