"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"singin_in_the_rain",100,95,"Classics","G</div"
"beatles_a_hard_days_night",98,89,"Classics","G</div"
"la_la_land",91,81,"Comedy","PG-13"
"pinocchio_1940",100,73,"Animation","G</div"
"american_in_paris",95,79,"Classics","G</div"
"1017346-red_shoes",96,92,"Classics","R</div"
"mary_poppins",100,86,"Classics","G</div"
"some_like_it_hot",97,94,"Classics","G</div"
"gentlemen_prefer_blondes",98,83,"Classics","G</div"
"the_umbrellas_of_cherbourg_1964",98,87,"Art House &amp; International","G</div"
"beauty_and_the_beast_1991",94,92,"Animation","G</div"
"20_feet_from_stardom",99,82,"Documentary","PG-13"
"beatles_the_yellow_submarine",97,84,"Action &amp; Adventure","G"
"amy_2015",95,87,"Art House &amp; International","R"
"the_last_waltz_1978",98,94,"Documentary","PG"
"sing_street",95,92,"Art House &amp; International","PG-13"
"1002681-blue_angel",95,87,"Art House &amp; International","NR</div"
"1019829-star_is_born",98,82,"Classics","PG</div"
"the_young_girls_of_rochefort",98,84,"Art House &amp; International","G</div"
"anvil_the_story_of_anvil",98,91,"Documentary","NR</div"
"once",97,91,"Drama","R"
"the_lion_king",93,93,"Action &amp; Adventure","G</div"
"fantasia",94,83,"Animation","G</div"
"waste-land",100,90,"Art House &amp; International","NR</div"
"afghan_star",100,77,"Art House &amp; International","NR</div"
"we_are_the_best",96,78,"Comedy","NR</div"
"1009096-hairspray",98,80,"Comedy","PG</div"
"amadeus",93,95,"Drama","R"
"everyday_sunshine_the_story_of_fishbone_2011",100,85,"Documentary","NR</div"
"bill_cunningham_new_york_2010",99,92,"Documentary","NR</div"
"west_side_story",93,84,"Drama","PG</div"
"disneys_aladdin",95,92,"Action &amp; Adventure","G</div"
"rivers_and_tides_andy_goldsworthy_working_with_time",99,90,"Art House &amp; International","G</div"
"my_fair_lady",95,90,"Kids &amp; Family","G</div"
"whats_love_got_to_do_with_it",96,88,"Drama","R</div"
"beware_of_mr_baker",98,87,"Documentary","NR</div"
"nashville",93,84,"Classics","R"
"sound_city",98,90,"Documentary","NR</div"
"keep_on_keepin_on",98,88,"Documentary","R"
"wordplay",95,80,"Documentary","PG"
"muscle_shoals_2013",96,89,"Documentary","PG"
"49_up",97,87,"Documentary","NR</div"
"full_monty",96,79,"Comedy","R"
"marley",95,90,"Documentary","PG-13"
"the_little_mermaid_1989",93,88,"Animation","G</div"
"hairspray",91,85,"Comedy","PG"
"searching_for_sugar_man",94,92,"Documentary","PG-13"
"johnny_guitar",93,85,"Action &amp; Adventure","PG</div"
"les-plages-dagnes",96,89,"Art House &amp; International","NR</div"
"love_and_mercy",90,85,"Drama","PG-13"
"exit_through_the_gift_shop",95,91,"Comedy","R"
"festival_express",96,85,"Documentary","R"
"20000_days_on_earth",95,79,"Documentary","NR</div"
"pina_3d",95,81,"Documentary","PG"
"born_into_brothels",95,91,"Documentary","R"
"crumb",95,89,"Comedy","R"
"funny_girl",93,85,"Classics","G</div"
"straight_outta_compton",88,91,"Drama","R"
"marina_abramovic_the_artist_is_present_2012",96,88,"Documentary","NR</div"
"los_angeles_plays_itself",96,85,"Documentary","NR</div"
"crazy_heart",90,76,"Drama","R"
"florence_foster_jenkins_2016",88,68,"Comedy","PG-13"
"lost_in_la_mancha",94,77,"Documentary","R"
"lagaan_once_upon_a_time_in_india",95,93,"Art House &amp; International","PG"
"hedwig_and_the_angry_inch",93,93,"Comedy","R"
"my_kid_could_paint_that",94,78,"Documentary","PG-13"
"end_of_the_century_the_story_of_the_ramones",95,93,"Documentary","NR</div"
"1200743-wrecking_crew",94,84,"Documentary","PG"
"willy_wonka_and_the_chocolate_factory",91,87,"Classics","G</div"
"block_party",92,74,"Comedy","R"
"filth_and_the_fury",95,88,"Documentary","R"
"the_sapphires_2012",91,76,"Comedy","PG-13"
"sing_your_song",95,79,"Documentary","NR</div"
"tangled",89,87,"Animation","PG"
"a_band_called_death_2013",94,85,"Documentary","NR</div"
"my_architect",93,83,"Documentary","NR</div"
"1012515-little_shop_of_horrors",90,79,"Comedy","PG-13"
"every_little_step",92,88,"Documentary","PG-13"
"five_easy_pieces",88,84,"Classics","R"
"u2_3d",92,93,"Documentary","G</div"
"sid_and_nancy",88,76,"Drama","R"
"scratch_2002",93,93,"Documentary","R"
"f_for_fake",88,89,"Documentary","PG</div"
"sound_of_music",84,91,"Classics","G</div"
"1167811-ballets_russes",92,81,"Documentary","NR</div"
"caesar_must_die_2012",92,73,"Art House &amp; International","NR</div"
"standing_in_the_shadows_of_motown",91,89,"Documentary","PG"
"shine",91,90,"Drama","PG-13"
"heart_of_gold",90,79,"Documentary","PG"
"the_punk_singer_2013",91,83,"Documentary","NR</div"
"sweeney_todd_the_demon_barber_of_fleet_street_2007",85,81,"Drama","R"
"chicago",85,83,"Comedy","PG-13"
"topsyturvy",89,79,"Art House &amp; International","R"
"1087935-buena_vista_social_club",91,90,"Documentary","G"
"1158179-devil_and_daniel_johnston",89,91,"Documentary","PG-13"
"who_killed_the_electric_car",89,84,"Documentary","PG"
"metallica_some_kind_of_monster",89,83,"Documentary","R</div"
"born_to_be_blue",88,74,"Art House &amp; International","R"
"mamma_mia_here_we_go_again",80,66,"Comedy","PG-13"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
