"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"1003707-casablanca",98,95,"Classics","PG</div"
"it_happened_one_night",98,93,"Classics","NR</div"
"the_shape_of_water_2017",92,72,"Drama","R"
"singin_in_the_rain",100,95,"Classics","G</div"
"the_big_sick",98,88,"Comedy","R"
"call_me_by_your_name",95,86,"Drama","R"
"1000355-adventures_of_robin_hood",100,89,"Action &amp; Adventure","PG</div"
"philadelphia_story",100,93,"Classics","NR</div"
"vertigo",95,93,"Classics","PG"
"roman_holiday",98,94,"Classics","NR</div"
"on_the_waterfront",98,95,"Classics","NR</div"
"carol",94,74,"Drama","R"
"american_in_paris",95,79,"Classics","G</div"
"1001902-beauty_and_the_beast",95,90,"Drama","NR</div"
"1017346-red_shoes",96,92,"Classics","R</div"
"city_lights",98,96,"Classics","G</div"
"the_african_queen_1951",98,86,"Action &amp; Adventure","PG"
"the_artist",95,87,"Comedy","PG-13"
"annie_hall",97,92,"Comedy","PG</div"
"miracle_on_34th_street",96,87,"Classics","NR</div"
"her",94,82,"Drama","R"
"before_midnight_2013",97,82,"Drama","R"
"in_a_lonely_place",98,89,"Classics","NR</div"
"gentlemen_prefer_blondes",98,83,"Classics","G</div"
"only_yesterday_1991",100,81,"Animation","PG"
"best_years_of_our_lives",96,92,"Classics","NR</div"
"the_umbrellas_of_cherbourg_1964",98,87,"Art House &amp; International","G</div"
"gone_with_the_wind",90,93,"Classics","G</div"
"sideways",97,78,"Comedy","R"
"beauty_and_the_beast_1991",94,92,"Animation","G</div"
"princess_bride",97,94,"Action &amp; Adventure","PG"
"1058966-red",100,95,"Art House &amp; International","R</div"
"sunrise",98,92,"Classics","NR</div"
"1001115-apartment",94,94,"Classics","NR</div"
"before_sunrise",100,93,"Drama","R</div"
"bringing_up_baby",93,90,"Classics","NR</div"
"hustler",98,93,"Drama","NR</div"
"groundhog_day",96,88,"Comedy","PG"
"wings_of_desire",98,94,"Art House &amp; International","PG-13</div"
"the_young_girls_of_rochefort",98,84,"Art House &amp; International","G</div"
"to_catch_a_thief",96,84,"Classics","PG"
"bull_durham",97,82,"Comedy","R"
"crouching_tiger_hidden_dragon",97,86,"Action &amp; Adventure","PG-13"
"slumdog_millionaire",91,90,"Drama","R"
"enough_said_2013",95,75,"Comedy","PG-13</div"
"titanic",89,69,"Drama","PG-13"
"lost_in_translation",95,85,"Comedy","R"
"1068832-sense_and_sensibility",98,90,"Drama","PG"
"gods_own_country_2017",97,87,"Art House &amp; International","NR</div"
"elevator_to_the_gallows",93,91,"Art House &amp; International","NR</div"
"three_colors_blue",98,93,"Art House &amp; International","R</div"
"your_name_2017",97,94,"Animation","PG"
"say_anything",98,85,"Comedy","PG-13"
"manhattan",95,92,"Comedy","R</div"
"daughters_of_the_dust",98,65,"Drama","PG</div"
"a_girl_walks_home_alone_at_night",96,75,"Horror","NR</div"
"west_side_story",93,84,"Drama","PG</div"
"giant",95,87,"Classics","G</div"
"four_weddings_and_a_funeral",96,74,"Comedy","R"
"up_in_the_air_2009",91,79,"Comedy","R"
"shakespeare_in_love",92,80,"Comedy","R"
"the_lunchbox",96,86,"Drama","PG"
"eternal_sunshine_of_the_spotless_mind",93,94,"Comedy","R"
"the_town",93,85,"Action &amp; Adventure","R"
"before_sunset",95,91,"Drama","R"
"midnight_in_paris",93,83,"Comedy","PG-13"
"1007931-from_here_to_eternity",92,84,"Classics","G</div"
"dave",95,72,"Comedy","PG-13"
"enchanted",93,80,"Comedy","PG"
"to_all_the_boys_ive_loved_before",97,87,"Drama","NR</div"
"summers_tale",98,83,"Art House &amp; International","G</div"
"crying_game",94,78,"Drama","R</div"
"big_night",96,84,"Comedy","R"
"million_dollar_baby",91,90,"Drama","PG-13"
"howards_end",94,82,"Art House &amp; International","PG</div"
"knocked_up",90,83,"Comedy","R"
"the_little_mermaid_1989",93,88,"Animation","G</div"
"about_a_boy",93,55,"Comedy","PG-13"
"revanche",96,83,"Art House &amp; International","NR</div"
"monsoon_wedding",95,87,"Comedy","R"
"masculine_feminine",95,87,"Art House &amp; International","NR</div"
"1075422-hamlet",95,90,"Drama","PG-13</div"
"1003094-brief_encounter",91,91,"Classics","NR</div"
"1083436-1083436-out_of_sight",93,74,"Action &amp; Adventure","R"
"remains_of_the_day",95,90,"Drama","PG</div"
"southside_with_you",92,72,"Drama","PG-13"
"quiet_man",90,91,"Classics","G</div"
"1045568-strictly_ballroom",95,87,"Comedy","PG</div"
"1040678-last_of_the_mohicans",95,88,"Action &amp; Adventure","R</div"
"moonstruck",93,81,"Comedy","PG"
"the_duke_of_burgundy",94,65,"Drama","NR</div"
"1095420-high_fidelity",91,90,"Comedy","R"
"obvious_child",91,72,"Comedy","R"
"the_spectacular_now",91,76,"Comedy","R"
"graduate",88,90,"Classics","PG"
"piano",92,86,"Art House &amp; International","R</div"
"1008166-general",92,92,"Comedy","R</div"
"crazy_heart",90,76,"Drama","R"
"their_finest_2017",90,72,"Comedy","R"
"y_tu_mama_tambien",92,88,"Art House &amp; International","R"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
