"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"bride_of_frankenstein",100,88,"Classics","NR</div"
"1007818-frankenstein",100,87,"Classics","NR</div"
"man_on_wire",100,87,"Documentary","PG-13"
"miracle_on_34th_street",96,87,"Classics","NR</div"
"life_itself",97,88,"Documentary","R"
"discreet_charm_of_the_bourgeoisie",98,89,"Art House &amp; International","PG</div"
"her",94,82,"Drama","R"
"amy_2015",95,87,"Art House &amp; International","R"
"taxi_to_the_dark_side",100,90,"Documentary","R"
"blackfish_2013",98,90,"Documentary","PG-13"
"groundhog_day",96,88,"Comedy","PG"
"murderball",98,89,"Documentary","R"
"inside_job_2010",98,91,"Documentary","PG-13"
"the_square_2013",100,90,"Documentary","NR</div"
"jiro_dreams_of_sushi",99,92,"Art House &amp; International","PG"
"hoop_dreams",98,93,"Documentary","PG-13</div"
"afghan_star",100,77,"Art House &amp; International","NR</div"
"waltz_with_bashir",96,91,"Animation","R"
"mr_death_the_rise_and_fall_of_fred_a_leuchter_jr",100,86,"Documentary","PG-13"
"the_interrupters_2011",99,82,"Documentary","NR</div"
"the_overnighters",99,85,"Documentary","PG-13"
"capturing_the_friedmans",97,89,"Documentary","R</div"
"jodorowskys_dune",97,89,"Documentary","PG-13"
"elaine_stritch_shoot_me_2013",99,79,"Comedy","NR</div"
"the_invisible_war",99,84,"Documentary","NR</div"
"56_up",99,75,"Documentary","NR</div"
"last_train_home-2009",100,87,"Art House &amp; International","PG</div"
"1122382-spellbound",97,83,"Documentary","G</div"
"love_is_strange_2014",94,66,"Drama","R"
"enron_the_smartest_guys_in_the_room",97,87,"Documentary","R"
"the_act_of_killing",95,85,"Documentary","NR</div"
"ai_weiwei_never_sorry_2012",98,87,"Documentary","R"
"this_is_not_a_film_2011",97,69,"Art House &amp; International","NR</div"
"restrepo",97,88,"Documentary","R"
"king_of_kong",97,93,"Documentary","PG-13"
"the_fog_of_war_eleven_lessons_from_the_life_of_robert_s_mcnamara",96,93,"Documentary","PG-13"
"bowling_for_columbine",95,83,"Documentary","R"
"cave_of_forgotten_dreams",96,73,"Documentary","G</div"
"war_tapes",98,83,"Documentary","NR</div"
"last_year_at_marienbad",94,85,"Science Fiction &amp; Fantasy","NR</div"
"how_to_survive_a_plague",97,83,"Documentary","NR</div"
"sicko",92,87,"Documentary","PG-13"
"undefeated_2012",96,89,"Documentary","PG-13"
"mea_maxima_culpa_silence_in_the_house_of_god",98,90,"Documentary","NR</div"
"devil_came_on_horseback",98,90,"Documentary","NR</div"
"blindsight",98,83,"Action &amp; Adventure","PG"
"let_the_fire_burn_2013",98,91,"Documentary","NR</div"
"call_me_kuchu_2011",98,88,"Documentary","NR</div"
"for_the_bible_tells_me_so",98,90,"Documentary","PG-13</div"
"the_life_and_times_of_hank_greenberg",97,80,"Documentary","PG</div"
"surfwise",98,66,"Documentary","R"
"the_queen_of_versailles",95,73,"Documentary","PG"
"the_imposter_2012",95,78,"Documentary","R"
"wordplay",95,80,"Documentary","PG"
"bus_174",97,90,"Art House &amp; International","R"
"burma-vj",97,91,"Art House &amp; International","NR</div"
"muscle_shoals_2013",96,89,"Documentary","PG"
"no_end_in_sight",96,94,"Documentary","NR</div"
"49_up",97,87,"Documentary","NR</div"
"winged_migration",95,87,"Documentary","G</div"
"marley",95,90,"Documentary","PG-13"
"finding_vivian_maier",95,89,"Documentary","NR</div"
"sweetgrass",97,66,"Documentary","NR</div"
"inconvenient_truth",93,79,"Documentary","PG"
"bigger_stronger_faster_asterisk",96,81,"Documentary","PG-13"
"trouble_the_water",96,86,"Documentary","NR</div"
"film_unfinished",97,86,"Art House &amp; International","NR"
"food_inc",95,86,"Documentary","PG"
"to_be_and_to_have",97,92,"Art House &amp; International","NR</div"
"the_salt_of_the_earth",95,90,"Documentary","PG-13"
"chasing_ice_2012",96,85,"Documentary","PG-13"
"wild_parrots_of_telegraph_hill",95,85,"Documentary","G</div"
"exit_through_the_gift_shop",95,91,"Comedy","R"
"the_gatekeepers_2012",94,79,"Documentary","PG-13"
"shaun_of_the_dead",92,93,"Action &amp; Adventure","R"
"20000_days_on_earth",95,79,"Documentary","NR</div"
"control_room",95,87,"Documentary","NR</div"
"touching_the_void",94,92,"Documentary","R"
"born_into_brothels",95,91,"Documentary","R"
"1195800-my_winnipeg",95,77,"Documentary","NR</div"
"crumb",95,89,"Comedy","R"
"i_am_divine",96,83,"Documentary","NR</div"
"manakamana",96,61,"Documentary","NR</div"
"cutie_and_the_boxer",95,75,"Documentary","R"
"10008507-deep_water",96,87,"Documentary","PG"
"brooklyn_castle_2012",96,81,"Documentary","PG"
"the_last_of_the_unjust",96,78,"Documentary","PG-13"
"good_hair",95,69,"Comedy","PG-13"
"up_the_yangtze",96,83,"Documentary","NR</div"
"5_broken_cameras_2012",96,88,"Art House &amp; International","NR</div"
"national_gallery",95,71,"Documentary","NR</div"
"last_days_in_vietnam",95,84,"Documentary","NR</div"
"the_arbor_2010",96,75,"Art House &amp; International","NR</div"
"plagues_and_pleasures_on_the_salton_sea",96,86,"Documentary","NR</div"
"promises",96,96,"Documentary","NR</div"
"los_angeles_plays_itself",96,85,"Documentary","NR</div"
"the-endurance",95,88,"Documentary","G</div"
"super_size_me",92,72,"Documentary","PG-13"
"10011003-crude",95,85,"Documentary","NR</div"
"the_story_of_the_weeping_camel",94,87,"Art House &amp; International","PG"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
