"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"citizen_kane",100,90,"Classics","PG</div"
"get_out",98,86,"Horror","R"
"the_third_man",99,93,"Classics","NR</div"
"the_cabinet_of_dr_caligari",100,89,"Art House &amp; International","NR</div"
"a_quiet_place_2018",95,83,"Drama","PG-13"
"spotlight_2015",97,93,"Drama","R"
"arrival_2016",94,82,"Drama","PG-13"
"1012007-laura",100,91,"Classics","NR</div"
"1013139-maltese_falcon",100,91,"Drama","PG</div"
"argo_2012",96,90,"Drama","R"
"psycho",96,95,"Classics","R"
"alien",97,94,"Drama","R"
"north-by-northwest",99,94,"Classics","NR</div"
"night_of_the_hunter",99,90,"Drama","PG</div"
"1017289-rear_window",100,95,"Classics","PG"
"1017293-rebecca",100,92,"Classics","NR</div"
"1012928-m",100,95,"Art House &amp; International","NR</div"
"hell_or_high_water",97,88,"Drama","R"
"1021749-touch_of_evil",96,92,"Classics","PG-13"
"1000121-39_steps",96,86,"Action &amp; Adventure","NR</div"
"taxi_driver",98,93,"Drama","R"
"jaws",98,90,"Action &amp; Adventure","PG"
"1011813-lady_vanishes",98,88,"Classics","PG</div"
"the_babadook",98,72,"Drama","NR</div"
"1002352-big_sleep",97,91,"Classics","PG</div"
"rashomon",98,93,"Art House &amp; International","NR</div"
"chinatown",99,93,"Classics","R</div"
"repulsion",98,86,"Classics","NR</div"
"harry_potter_and_the_deathly_hallows_part_2_2011",96,89,"Action &amp; Adventure","PG-13"
"vertigo",95,93,"Classics","PG"
"wages_of_fear",100,95,"Art House &amp; International","NR</div"
"1046060-high_noon",96,89,"Mystery &amp; Suspense","PG</div"
"la_confidential",99,94,"Drama","R"
"skyfall",92,86,"Action &amp; Adventure","PG-13"
"strangers_on_a_train",98,92,"Mystery &amp; Suspense","PG"
"1010678-invasion_of_the_body_snatchers",98,85,"Classics","PG</div"
"godfather_part_ii",97,97,"Drama","R"
"anatomy-of-a-murder",100,90,"Classics","G</div"
"nightcrawler",95,85,"Drama","R"
"the_post",88,73,"Drama","PG-13"
"1015287-notorious",98,91,"Classics","NR</div"
"rosemarys_baby",97,87,"Classics","R"
"freaks",94,88,"Classics","NR</div"
"in_a_lonely_place",98,89,"Classics","NR</div"
"badlands",98,90,"Action &amp; Adventure","PG"
"dont_look_now",97,77,"Classics","R</div"
"the_salesman_2017",96,84,"Art House &amp; International","PG-13"
"casino_royale",95,89,"Action &amp; Adventure","PG-13"
"forbidden_planet",98,85,"Classics","G</div"
"eyes_without_a_face_1962",98,87,"Art House &amp; International","NR</div"
"silence_of_the_lambs",96,95,"Horror","R"
"conversation",98,90,"Drama","PG"
"1009113-halloween",96,89,"Horror","R</div"
"goldfinger",97,89,"Action &amp; Adventure","PG</div"
"kiss_me_deadly",98,84,"Classics","NR</div"
"eye_in_the_sky",95,83,"Drama","R"
"101_dalmatians",98,76,"Animation","G</div"
"all_is_lost_2013",94,63,"Action &amp; Adventure","PG-13"
"le_cercle_rouge",95,92,"Art House &amp; International","R</div"
"no_country_for_old_men",93,86,"Action &amp; Adventure","R"
"looper",93,82,"Action &amp; Adventure","R"
"sunrise",98,92,"Classics","NR</div"
"peeping_tom_1960",96,85,"Classics","R</div"
"blood_simple",94,88,"Drama","R"
"bridge_of_spies",91,87,"Drama","PG-13"
"searching_2018",92,88,"Mystery &amp; Suspense","PG-13"
"1001280-assault_on_precinct_13",98,80,"Action &amp; Adventure","R</div"
"blue_velvet",95,88,"Drama","R"
"sicario_2015",92,85,"Action &amp; Adventure","R"
"to_catch_a_thief",96,84,"Classics","PG"
"1046129-fugitive",96,89,"Action &amp; Adventure","PG-13"
"ex_machina",92,86,"Drama","R"
"1013227-manchurian_candidate",96,90,"Classics","PG-13"
"10_cloverfield_lane",90,79,"Drama","PG-13"
"who_framed_roger_rabbit",97,84,"Action &amp; Adventure","PG</div"
"it_2017",86,84,"Drama","R"
"1005973-diva",98,86,"Action &amp; Adventure","R</div"
"lavventura",96,88,"Art House &amp; International","NR</div"
"jurassic_park",91,91,"Action &amp; Adventure","PG-13"
"1002448-birds",95,83,"Classics","PG-13</div"
"in_the_heat_of_the_night",96,92,"Classics","G</div"
"the_cabin_in_the_woods",91,74,"Horror","R"
"in_the_line_of_fire",96,79,"Action &amp; Adventure","R</div"
"elevator_to_the_gallows",93,91,"Art House &amp; International","NR</div"
"rope",94,90,"Classics","PG</div"
"wake_in_fright",100,84,"Drama","R</div"
"the_vanishing",98,88,"Art House &amp; International","R</div"
"three_colors_blue",98,93,"Art House &amp; International","R</div"
"blue_ruin",96,79,"Mystery &amp; Suspense","R"
"gone_girl",87,87,"Drama","R"
"close_encounters_of_the_third_kind",95,85,"Action &amp; Adventure","PG"
"bourne_ultimatum",92,91,"Action &amp; Adventure","PG-13"
"dr_no",95,82,"Action &amp; Adventure","PG</div"
"1002830-body_heat",98,80,"Mystery &amp; Suspense","R"
"mandy_2018",91,66,"Action &amp; Adventure","NR</div"
"1010030-house_of_wax",95,72,"Drama","PG</div"
"drag_me_to_hell",92,62,"Horror","PG-13"
"1032434-killer",98,92,"Action &amp; Adventure","R</div"
"departed",91,94,"Action &amp; Adventure","R"
"a_girl_walks_home_alone_at_night",96,75,"Horror","NR</div"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"blackkklansman",96,82,"Comedy","R"
