"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"life_itself",97,88,"Documentary","R"
"afghan_star",100,77,"Art House &amp; International","NR</div"
"room_237_2012",94,55,"Documentary","NR</div"
"49_up",97,87,"Documentary","NR</div"
"behind_the_candelabra",95,71,"Drama","NR</div"
"film_unfinished",97,86,"Art House &amp; International","NR"
"the_return",95,93,"Drama","NR</div"
"not_quite_hollywood",95,80,"Art House &amp; International","R"
"being_elmo_a_puppeteers_journey",95,87,"Documentary","PG"
"los_angeles_plays_itself",96,85,"Documentary","NR</div"
"lost_in_la_mancha",94,77,"Documentary","R"
"sing_your_song",95,79,"Documentary","NR</div"
"american_movie",94,90,"Comedy","R"
"best_worst_movie",94,84,"Comedy","NR</div"
"the_normal_heart",94,87,"Drama","R</div"
"side_by_side_2012",93,86,"Documentary","NR</div"
"joan-rivers-a-piece-of-work",92,82,"Comedy","R"
"yoo_hoo_mrs_goldberg",93,81,"Documentary","G</div"
"kid_stays_in_the_picture",91,80,"Documentary","R"
"f_for_fake",88,89,"Documentary","PG</div"
"1006345-duel",88,84,"Mystery &amp; Suspense","PG</div"
"saraband",91,87,"Art House &amp; International","R"
"cormans_world_exploits_of_a_hollywood_rebel",92,84,"Documentary","R"
"electric_boogaloo_the_wild_untold_story_of_cannon_films",91,81,"Documentary","R"
"tell_them_who_you_are",88,65,"Documentary","R"
"1006037-doctor_zhivago",83,88,"Classics","PG-13"
"five_obstructions",88,85,"Art House &amp; International","NR</div"
"this_film_is_not_yet_rated",84,81,"Documentary","NC17"
"trekkies",86,70,"Documentary","PG"
"inside_deep_throat",83,67,"Documentary","NC17"
"outfoxed_rupert_murdochs_war_on_journalism",85,77,"Documentary","NR</div"
"1193303-1193303-trumbo",83,78,"Documentary","PG-13"
"confirmation",83,74,"Drama","NR</div"
"tupac_resurrection",78,90,"Documentary","R"
"overnight",78,71,"Documentary","R"
"pom_wonderful_presents_the_greatest_movie_ever_sold",74,64,"Comedy","PG-13"
"teachers_pet_2004",76,48,"Animation","PG"
"fellini_im_a_born_liar",73,61,"Art House &amp; International","R"
"my_date_with_drew",71,57,"Comedy","PG"
"only_human",71,77,"Art House &amp; International","R"
"waking_sleeping_beauty",70,80,"Documentary","PG"
"porn_star_the_legend_of_ron_jeremy",69,63,"Comedy","R"
"rugrats_movie",59,50,"Animation","G</div"
"im_still_here_2010",53,38,"Documentary","R"
"no_strings_attached_2011",49,51,"Comedy","R"
"bamboozled",48,74,"Comedy","R"
"real_cancun",35,30,"Art House &amp; International","R"
"i_am_2011",36,80,"Documentary","PG-13</div"
"15_minutes",32,37,"Action &amp; Adventure","R"
"man_of_the_year",22,45,"Comedy","PG"
"pokemon_3_the_movie",21,53,"Action &amp; Adventure","G</div"
"1146572-honeymooners",13,30,"Comedy","PG"
"from_justin_to_kelly",10,39,"Comedy","PG"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
