"filme","Reviewers","Users","Genero","RatingCandidates"
"parasite_2019",99,93,"Art House &amp; International","R"
"the_lighthouse_2019",92,70,"Drama","R"
"the_farewell_2019",99,87,"Comedy","PG"
"treasure_of_the_sierra_madre",100,93,"Action &amp; Adventure","NR</div"
"1046060-high_noon",96,89,"Mystery &amp; Suspense","PG</div"
"the_good_the_bad_and_the_ugly",97,97,"Western","R</div"
"rio_bravo",100,91,"Action &amp; Adventure","R</div"
"true_grit_2010",96,85,"Action &amp; Adventure","PG-13"
"once_upon_a_time_in_the_west",98,95,"Action &amp; Adventure","PG-13"
"searchers",98,88,"Action &amp; Adventure","PG</div"
"1041911-unforgiven",96,93,"Drama","R"
"fistful_of_dollars",98,91,"Action &amp; Adventure","R</div"
"giant",95,87,"Classics","G</div"
"1059489-wild_bunch",93,91,"Action &amp; Adventure","R"
"the_ballad_of_buster_scruggs",91,77,"Drama","R"
"sweetgrass",97,66,"Documentary","NR</div"
"johnny_guitar",93,85,"Action &amp; Adventure","PG</div"
"man_who_shot_liberty_valance",93,92,"Action &amp; Adventure","G</div"
"blazing_saddles",91,91,"Classics","R"
"django_unchained_2012",86,91,"Drama","R"
"310_to_yuma",89,86,"Action &amp; Adventure","R"
"1074022-lone_star",94,83,"Drama","R"
"1003318-butch_cassidy_and_the_sundance_kid",90,92,"Action &amp; Adventure","PG"
"true_grit",88,84,"Classics","G</div"
"outlaw_josey_wales",90,92,"Action &amp; Adventure","PG"
"bone_tomahawk",91,73,"Action &amp; Adventure","NR</div"
"mccabe_and_mrs_miller",88,87,"Classics","R</div"
"1013077-magnificent_seven",88,87,"Action &amp; Adventure","R</div"
"1014793-near_dark",88,74,"Horror","R</div"
"proposition",86,85,"Action &amp; Adventure","R"
"three_burials_of_melquiades_estrada",85,81,"Drama","R"
"meeks_cutoff",86,53,"Drama","PG"
"dances_with_wolves",82,87,"Action &amp; Adventure","PG-13</div"
"the_homesman",81,52,"Drama","R"
"the_hateful_eight",74,76,"Western","R"
"open_range",79,84,"Action &amp; Adventure","R"
"shanghai_noon",79,65,"Action &amp; Adventure","PG-13"
"the_good_the_bad_the_weird",82,83,"Action &amp; Adventure","R"
"assassination_of_jesse_james_by_the_coward_robert_ford",77,75,"Action &amp; Adventure","R"
"10008785-appaloosa",76,55,"Action &amp; Adventure","R"
"red_hill_2010",79,57,"Action &amp; Adventure","R"
"hostiles",71,74,"Action &amp; Adventure","R"
"in_a_valley_of_violence",76,51,"Action &amp; Adventure","R"
"horse_whisperer",74,72,"Drama","PG-13"
"the_keeping_room",74,50,"Drama","R"
"tombstone",73,94,"Action &amp; Adventure","R"
"blackthorn",74,61,"Action &amp; Adventure","R"
"tears_of_the_black_tiger",74,76,"Action &amp; Adventure","NR</div"
"the_magnificent_seven_2016",63,72,"Action &amp; Adventure","PG-13"
"the_salvation",72,62,"Drama","R"
"dead_man",71,88,"Drama","R</div"
"the_rover",66,51,"Mystery &amp; Suspense","R"
"maverick",66,71,"Action &amp; Adventure","PG-13</div"
"claim",62,49,"Drama","R"
"1127407-missing",58,50,"Action &amp; Adventure","R"
"heavens_gate",57,54,"Action &amp; Adventure","R</div"
"legends_of_the_fall",57,87,"Drama","R</div"
"1059629-quick_and_the_dead",57,53,"Action &amp; Adventure","R"
"sukiyaki_western_django",56,57,"Action &amp; Adventure","R"
"the_killer_inside_me",54,40,"Drama","R"
"seraphim_falls",55,54,"Action &amp; Adventure","R"
"1131148-ned_kelly",56,53,"Action &amp; Adventure","R"
"down_in_the_valley",52,53,"Drama","R"
"cowboys_and_aliens",45,43,"Action &amp; Adventure","PG-13"
"jane_got_a_gun",43,37,"Action &amp; Adventure","R"
"brimstone_2017",42,53,"Art House &amp; International","R"
"forsaken_2016",42,87,"Art House &amp; International","R"
"a_million_ways_to_die_in_the_west",33,40,"Comedy","R"
"the_lone_ranger",31,51,"Action &amp; Adventure","PG-13"
"alamo",29,45,"Action &amp; Adventure","PG-13"
"the-warriors-way",29,47,"Action &amp; Adventure","R"
"the_dark_tower_2017",16,45,"Horror","PG-13"
"wild_wild_west",17,28,"Action &amp; Adventure","PG-13"
"10009274-priest",15,46,"Action &amp; Adventure","PG-13"
"american_outlaws",14,68,"Action &amp; Adventure","PG-13"
"jonah_hex",12,20,"Action &amp; Adventure","PG-13"
"september_dawn",15,49,"Drama","R"
"1111103-texas_rangers",2,29,"Action &amp; Adventure","PG-13"
"pain_and_glory",96,91,"Drama","R"
"dolemite_is_my_name",97,91,"Drama","R"
"one_cut_of_the_dead",100,83,"Art House &amp; International","NR</div"
"the_peanut_butter_falcon",95,96,"Action &amp; Adventure","PG-13"
"one_child_nation",99,85,"Documentary","R"
"hustlers_2019",88,65,"Drama","R"
"chained_for_life_2018",100,70,"Drama","NR</div"
"black_panther_2018",97,79,"Action &amp; Adventure","PG-13"
"avengers_endgame",94,91,"Action &amp; Adventure","PG-13"
"us_2019",93,60,"Horror","R"
"toy_story_4",97,94,"Animation","G</div"
"mission_impossible_fallout",97,87,"Action &amp; Adventure","PG-13"
"lady_bird",99,79,"Comedy","R"
"the_wizard_of_oz_1939",98,89,"Classics","G"
"citizen_kane",100,90,"Classics","PG</div"
"blackkklansman",96,82,"Comedy","R"
"get_out",98,86,"Horror","R"
